net,mu,lam,bwd,family,alloc,T,seconds
NN1,1,8,R,FM,"[1000, 84, 10]",7.709611905177664e-05,5.475371837615967
NN1,1,8,T,FM,"[1000, 500, 10]",4.722040432525899e-05,5.164923906326294
NN1,1,64,R,FM,"[1000, 167, 10]",5.476128212811013e-05,5.215845346450806
NN1,1,64,T,FM,"[1000, 500, 10]",4.339032402574255e-05,5.140484094619751
NN1,8,8,R,FM,"[1000, 56, 10]",0.0002959686406681222,5.138632535934448
NN1,8,8,T,FM,"[1000, 500, 10]",0.00011562386414360865,5.215806007385254
NN1,8,64,R,FM,"[1000, 125, 10]",0.00017003769589234174,5.117389440536499
NN1,8,64,T,FM,"[1000, 500, 10]",0.00010965848972644516,5.079359531402588
NN1,16,8,R,FM,"[1000, 56, 5]",0.0005237978058079206,5.149567365646362
NN1,16,8,T,FM,"[1000, 500, 10]",0.00018749858179066745,5.128520250320435
NN1,16,64,R,FM,"[1000, 125, 10]",0.0002997299136024234,5.03943657875061
NN1,16,64,T,FM,"[1000, 500, 10]",0.00017868614854997454,5.189658880233765
NN1,32,8,R,FM,"[1000, 48, 5]",0.0010382504237921634,5.170930624008179
NN1,32,8,T,FM,"[1000, 500, 10]",0.00034860678851335655,5.273916244506836
NN1,32,64,R,FM,"[1000, 125, 10]",0.0005750617552892296,5.121952772140503
NN1,32,64,T,FM,"[1000, 500, 10]",0.00033410023762560484,5.181128740310669
NN2,1,8,R,FM,"[750, 131, 167, 84, 10]",0.0001996483421071791,22.70094108581543
NN2,1,8,T,FM,"[750, 784, 500, 500, 10]",9.466920022932594e-05,22.767062425613403
NN2,1,64,R,FM,"[750, 196, 250, 125, 10]",0.00011756940787462009,22.351096153259277
NN2,1,64,T,FM,"[750, 784, 1000, 500, 10]",8.496005078054139e-05,22.63080072402954
NN2,8,8,R,FM,"[750, 72, 78, 64, 5]",0.0008992385782775363,22.62697124481201
NN2,8,8,T,FM,"[750, 784, 1000, 500, 10]",0.0002517143895264571,22.903170108795166
NN2,8,64,R,FM,"[750, 157, 250, 125, 10]",0.00044293858043503384,22.427451610565186
