net,mu,bwd,tree,B_e,alloc,T
NN1,1,R,0,1000000000.0,"[500, 125, 10]",0.00024664486557539886
NN1,1,R,0,1333521432.163324,"[500, 125, 10]",0.000198816635014463
NN1,1,R,0,1778279410.0389228,"[500, 125, 10]",0.00016295052187419967
NN1,1,R,0,2371373705.6616554,"[500, 125, 10]",0.00013605473131905347
NN1,1,R,0,3162277660.1683793,"[512, 167, 10]",0.00011390185103698949
NN1,1,R,0,4216965034.2858224,"[512, 167, 10]",9.807061130505203e-05
NN1,1,R,0,5623413251.903491,"[512, 167, 10]",8.619885630351822e-05
NN1,1,R,0,7498942093.324558,"[512, 167, 10]",7.72962959732544e-05
NN1,1,R,0,10000000000.0,"[512, 167, 10]",7.062031753335672e-05
NN1,1,R,0,13335214321.63324,"[512, 167, 10]",6.561403995964913e-05
NN1,1,R,0,17782794100.38923,"[512, 167, 10]",6.185986139681486e-05
NN1,1,R,0,23713737056.61655,"[512, 167, 10]",5.904462463174541e-05
NN1,1,R,0,31622776601.683792,"[512, 167, 10]",5.6933494883719994e-05
NN1,1,R,0,42169650342.85822,"[512, 167, 10]",5.535037091052624e-05
NN1,1,R,0,56234132519.034904,"[500, 250, 10]",5.3829685786294095e-05
NN1,1,R,0,74989420933.24557,"[500, 250, 10]",5.2658086530655074e-05
NN1,1,R,0,100000000000.0,"[500, 250, 10]",5.177951103319316e-05
NN1,1,R,0,133352143216.3324,"[500, 250, 10]",5.112067235518509e-05
NN1,1,R,0,177827941003.89227,"[500, 500, 10]",5.054991180352005e-05
NN1,1,R,0,237137370566.16553,"[500, 500, 10]",4.9898399982776584e-05
NN1,1,R,0,316227766016.83795,"[500, 500, 10]",4.940983504108941e-05
NN1,1,R,0,421696503428.5823,"[500, 500, 10]",4.904346302043535e-05
NN1,1,R,0,562341325190.3491,"[1000, 500, 10]",4.847663022398437e-05
NN1,1,R,0,749894209332.4558,"[1000, 500, 10]",4.787893243074073e-05
NN1,1,R,0,1000000000000.0,"[1000, 500, 10]",4.7430722316656545e-05
NN1,1,R,0,1333521432163.324,"[1000, 500, 10]",4.709461214754057e-05
NN1,1,R,0,1778279410038.9229,"[1000, 500, 10]",4.684256507802275e-05
NN1,1,R,0,2371373705661.6553,"[1000, 500, 10]",4.6653556440112115e-05
NN1,1,R,0,3162277660168.3794,"[1000, 500, 10]",4.651181995702912e-05
NN1,1,R,0,4216965034285.8223,"[1000, 500, 10]",4.640553258911404e-05
NN1,1,R,0,5623413251903.491,"[1000, 500, 10]",4.632582830738933e-05
NN1,1,R,0,7498942093324.559,"[1000, 500, 10]",4.6266058528064963e-05
NN1,1,R,0,10000000000000.0,"[1000, 500, 10]",4.622123751665654e-05
NN1,1,R,0,1e+18,"[1000, 500, 10]",4.6086851660528544e-05
NN1,1,R,0,435200000000.0,"[500, 500, 10]",4.9009378600720176e-05
NN1,1,R,1,1000000000.0,"[500, 125, 10]",0.00024664486557539886
NN1,1,R,1,1333521432.163324,"[512, 167, 10]",0.00019740536761374812
NN1,1,R,1,1778279410.0389228,"[512, 167, 10]",0.00016068941484486006
NN1,1,R,1,2371373705.6616554,"[512, 167, 10]",0.00013315633447334694
NN1,1,R,1,3162277660.1683793,"[512, 167, 10]",0.00011250943693766417
NN1,1,R,1,4216965034.2858224,"[512, 167, 10]",9.702644803497509e-05
NN1,1,R,1,5623413251.903491,"[512, 167, 10]",8.541584431368988e-05
NN1,1,R,1,7498942093.324558,"[512, 167, 10]",7.670911981624423e-05
NN1,1,R,1,10000000000.0,"[512, 167, 10]",7.017999753335672e-05
NN1,1,R,1,13335214321.63324,"[512, 167, 10]",6.528384654139585e-05
NN1,1,R,1,17782794100.38923,"[512, 167, 10]",6.161225126450705e-05
NN1,1,R,1,23713737056.61655,"[500, 250, 10]",5.873701102157832e-05
NN1,1,R,1,31622776601.683792,"[500, 250, 10]",5.633806130790575e-05
NN1,1,R,1,42169650342.85822,"[500, 250, 10]",5.4539102809142934e-05
NN1,1,R,1,56234132519.034904,"[500, 250, 10]",5.3190074248091295e-05
NN1,1,R,1,74989420933.24557,"[500, 250, 10]",5.217844554193457e-05
NN1,1,R,1,100000000000.0,"[500, 500, 10]",5.121920683601429e-05
NN1,1,R,1,133352143216.3324,"[500, 500, 10]",5.040030045197899e-05
NN1,1,R,1,177827941003.89227,"[500, 500, 10]",4.978620729660554e-05
NN1,1,R,1,237137370566.16553,"[1000, 250, 10]",4.923881600711918e-05
NN1,1,R,1,316227766016.83795,"[1000, 500, 10]",4.8514872402355106e-05
NN1,1,R,1,421696503428.5823,"[1000, 500, 10]",4.790761001885321e-05
NN1,1,R,1,562341325190.3491,"[1000, 500, 10]",4.745222747391971e-05
NN1,1,R,1,749894209332.4558,"[1000, 500, 10]",4.7110738740443e-05
NN1,1,R,1,1000000000000.0,"[1000, 500, 10]",4.685465831665654e-05
NN1,1,R,1,1333521432163.324,"[1000, 500, 10]",4.666262508973568e-05
NN1,1,R,1,1778279410038.9229,"[1000, 500, 10]",4.65186204848683e-05
NN1,1,R,1,2371373705661.6553,"[1000, 500, 10]",4.641063226556104e-05
NN1,1,R,1,3162277660168.3794,"[1000, 500, 10]",4.63296525252264e-05
NN1,1,R,1,4216965034285.8223,"[1000, 500, 10]",4.6268926286876206e-05
NN1,1,R,1,5623413251903.491,"[1000, 500, 10]",4.622338803238286e-05
NN1,1,R,1,7498942093324.559,"[1000, 500, 10]",4.618923915903519e-05
NN1,1,R,1,10000000000000.0,"[1000, 500, 10]",4.616363111665654e-05
NN1,1,R,1,1e+18,"[1000, 500, 10]",4.608685108446454e-05
NN1,1,R,1,435200000000.0,"[1000, 500, 10]",4.78511150225389e-05
NN1,1,T,1,1000000000.0,"[1000, 500, 10]",0.00017144689960541987
NN1,1,T,1,1333521432.163324,"[1000, 500, 10]",0.00013930530423515242
NN1,1,T,1,1778279410.0389228,"[1000, 500, 10]",0.00011520250798828201
NN1,1,T,1,2371373705.6616554,"[1000, 500, 10]",9.712796065403383e-05
NN1,1,T,1,3162277660.1683793,"[1000, 500, 10]",8.357396227177574e-05
NN1,1,T,1,4216965034.2858224,"[1000, 500, 10]",7.340989737161892e-05
NN1,1,T,1,5623413251.903491,"[1000, 500, 10]",6.578792395971206e-05
NN1,1,T,1,7498942093.324558,"[1000, 500, 10]",6.0072250234437165e-05
NN1,1,T,1,10000000000.0,"[1000, 500, 10]",5.578609960541986e-05
NN1,1,T,1,13335214321.63324,"[1000, 500, 10]",5.257194006839312e-05
NN1,1,T,1,17782794100.38923,"[1000, 500, 10]",5.0161660443706075e-05
NN1,1,T,1,23713737056.61655,"[1000, 500, 10]",4.835420571028126e-05
NN1,1,T,1,31622776601.683792,"[1000, 500, 10]",4.699880587205545e-05
NN1,1,T,1,42169650342.85822,"[1000, 500, 10]",4.598239938203977e-05
NN1,1,T,1,56234132519.034904,"[1000, 500, 10]",4.522020204084908e-05
NN1,1,T,1,74989420933.24557,"[1000, 500, 10]",4.464863466832159e-05
NN1,1,T,1,100000000000.0,"[1000, 500, 10]",4.422001960541986e-05
NN1,1,T,1,133352143216.3324,"[1000, 500, 10]",4.389860365171719e-05
NN1,1,T,1,177827941003.89227,"[1000, 500, 10]",4.365757568924848e-05
NN1,1,T,1,237137370566.16553,"[1000, 500, 10]",4.3476830215906e-05
