net,mu,bwd,k,D_cfg,T,T_max,acl
NN1,1,R,1,1e-09,4.882711823226234e-05,4.882711823226234e-05,"[63, 32, 1]"
NN1,1,R,1,1e-08,4.886311823226234e-05,4.886311823226235e-05,"[63, 32, 1]"
NN1,1,R,1,1e-07,4.922311823226234e-05,4.922311823226234e-05,"[63, 32, 1]"
NN1,1,R,1,1e-06,5.282311823226234e-05,5.2823118232262345e-05,"[63, 32, 1]"
NN1,1,R,4,1e-09,4.605447117343881e-05,4.605447117343882e-05,"[63, 32, 1]"
NN1,1,R,4,1e-08,4.609047117343881e-05,4.6090471173438815e-05,"[63, 32, 1]"
NN1,1,R,4,1e-07,4.645047117343881e-05,4.645047117343882e-05,"[63, 32, 1]"
NN1,1,R,4,1e-06,5.005047117343882e-05,5.005047117343881e-05,"[63, 32, 1]"
NN1,1,T,1,1e-09,4.336007736428168e-05,4.336007736428168e-05,"[63, 32, 1]"
NN1,1,T,1,1e-08,4.339607736428169e-05,4.3396077364281684e-05,"[63, 32, 1]"
NN1,1,T,1,1e-07,4.375607736428168e-05,4.375607736428168e-05,"[63, 32, 1]"
NN1,1,T,1,1e-06,4.735607736428168e-05,4.735607736428169e-05,"[63, 32, 1]"
NN1,1,T,4,1e-09,4.3017136187811094e-05,4.3017136187811094e-05,"[63, 32, 1]"
NN1,1,T,4,1e-08,4.30531361878111e-05,4.305313618781109e-05,"[63, 32, 1]"
NN1,1,T,4,1e-07,4.3413136187811095e-05,4.3413136187811095e-05,"[63, 32, 1]"
NN1,1,T,4,1e-06,4.701313618781109e-05,4.7013136187811095e-05,"[63, 32, 1]"
NN1,8,R,1,1e-09,0.00014397664834709712,0.00014397664834709715,"[63, 32, 1]"
NN1,8,R,1,1e-08,0.00014401264834709712,0.00014401264834709715,"[63, 32, 1]"
NN1,8,R,1,1e-07,0.00014437264834709713,0.00014437264834709715,"[63, 32, 1]"
NN1,8,R,1,1e-06,0.00014797264834709713,0.00014797264834709713,"[63, 32, 1]"
NN1,8,R,4,1e-09,0.00012176958952356773,0.00012176958952356773,"[63, 32, 1]"
NN1,8,R,4,1e-08,0.00012180558952356773,0.00012180558952356773,"[63, 32, 1]"
NN1,8,R,4,1e-07,0.00012216558952356772,0.00012216558952356775,"[63, 32, 1]"
NN1,8,R,4,1e-06,0.00012576558952356772,0.00012576558952356772,"[63, 32, 1]"
NN1,8,T,1,1e-09,0.00011254647835910194,0.00011254647835910194,"[63, 32, 1]"
NN1,8,T,1,1e-08,0.00011258247835910195,0.00011258247835910194,"[63, 32, 1]"
NN1,8,T,1,1e-07,0.00011294247835910193,0.00011294247835910194,"[63, 32, 1]"
NN1,8,T,1,1e-06,0.00011654247835910193,0.00011654247835910193,"[63, 32, 1]"
NN1,8,T,4,1e-09,0.00010977059600616075,0.00010977059600616077,"[63, 32, 1]"
NN1,8,T,4,1e-08,0.00010980659600616076,0.00010980659600616076,"[63, 32, 1]"
NN1,8,T,4,1e-07,0.00011016659600616075,0.00011016659600616077,"[63, 32, 1]"
NN1,8,T,4,1e-06,0.00011376659600616076,0.00011376659600616076,"[63, 32, 1]"
NN1,16,R,1,1e-09,0.000244986060111803,0.000244986060111803,"[63, 32, 1]"
NN1,16,R,1,1e-08,0.00024502206011180297,0.000245022060111803,"[63, 32, 1]"
