tag,net,C,c,k,B,mux,P_lane_max,mu,bwd,F,P_lane_dbm,IL_window,acl,T,comp,comm,E_laser,E_tune,E_dyn,E_fab,E_leak,E_comp,E_total,max_chain,segments,relays,commF,commB,fabric_bound,T_max,T_bf,u_bf,T_ideal,E_ideal,acl_ideal,IL_ideal,P_ideal_dbm,secs
rate,NN2,64,16,4,10000000000.0,SDM,0.0,1,R,6,-5.638574516291353,13.661425483708648,"[51, 49, 63, 32, 1]",9.231529995099732e-05,8.011199203187251e-05,1.1958307919124815e-05,5.8549456732982975e-06,3.529215744000007e-06,4.021019648e-05,8.409472000000001e-05,2.8004769393134547e-06,0.00029263773999999997,0.0004291272948366117,6.0,3451.0,2807.0,1.0809186654447613e-06,1.0877389253680054e-05,0.0,9.249647642158556e-05,9.247059406864438e-05,63,8.460471171570324e-05,0.0004387705801684055,"[64, 49, 63, 32, 1]",32.76141276307128,13.461412763071277,0.8107738494873047
rate,NN2,64,16,2,20000000000.0,SDM,0.0,1,R,6,-1.1231245813316342,13.661425483708648,"[51, 49, 63, 32, 1]",9.204353524511497e-05,8.011199203187251e-05,1.1686543213242466e-05,8.280143578136094e-06,1.7646078720000036e-06,4.021019648e-05,8.409472000000001e-05,2.7922326851958073e-06,0.00029263773999999997,0.00042977964061533187,6.0,3451.0,2807.0,9.45036312503585e-07,1.074150690073888e-05,0.0,9.222471171570321e-05,9.219235877452673e-05,63,8.459177053923263e-05,0.0004166939445679771,"[64, 49, 63, 32, 1]",32.76141276307128,17.976862698030995,0.38816237449645996
rate,NN2,64,16,1,40000000000.0,SDM,0.0,1,R,3,-0.9829746030117281,9.286125527068837,"[49, 49, 63, 32, 1]",0.0001008411823039385,8.011199203187251e-05,2.0484190272065992e-05,7.810655277813449e-06,1.6116948479999974e-06,7.04939033599998e-05,8.409472000000001e-05,3.059118106372278e-06,0.00029263773999999997,0.0004597078315921855,11.0,6288.0,5648.0,1.6038598419153497e-06,1.8880330430150644e-05,0.0,0.00010112588818629145,0.0001010676528921738,63,8.459177053923263e-05,0.00040565582305952764,"[64, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.4078943729400635
rate,NN2,64,16,4,10000000000.0,WDM,0.0,1,R,6,-4.5833578123999175,14.716642187600083,"[51, 49, 63, 32, 1]",9.231529995099732e-05,8.011199203187251e-05,1.1958307919124815e-05,7.4652531615244965e-06,4.141036339200001e-05,4.021019648e-05,8.409472000000001e-05,2.8004769393134547e-06,0.00029263773999999997,0.0004686187499728379,6.0,3451.0,2807.0,1.0809186654447613e-06,1.0877389253680054e-05,0.0,9.249647642158556e-05,9.247059406864438e-05,63,8.460471171570324e-05,0.0005043278337492056,"[64, 49, 63, 32, 1]",33.81662946696271,14.516629466962709,0.35425257682800293
rate,NN2,64,16,2,20000000000.0,WDM,0.0,1,R,6,-0.06790787744019866,14.716642187600083,"[51, 49, 63, 32, 1]",9.204353524511497e-05,8.011199203187251e-05,1.1686543213242466e-05,1.0557462267576584e-05,2.0705181696000004e-05,4.021019648e-05,8.409472000000001e-05,2.7922326851958073e-06,0.00029263773999999997,0.0004509975331287724,6.0,3451.0,2807.0,9.45036312503585e-07,1.074150690073888e-05,0.0,9.222471171570321e-05,9.219235877452673e-05,63,8.459177053923263e-05,0.00044947257135837714,"[64, 49, 63, 32, 1]",33.81662946696271,19.032079401922427,0.36615920066833496
rate,NN2,64,16,1,40000000000.0,WDM,0.0,1,R,2,-2.143670489677106,8.125429640403459,"[64, 25, 21, 17, 1]",0.00010858758089942532,8.704966585287079e-05,2.1292915046554525e-05,2.898582147494544e-06,3.8550651135999896e-06,3.3820293119999964e-05,3.9022592e-05,3.294112854164966e-06,0.00027939197999999997,0.0003622826252352594,16.0,3064.0,2732.0,2.7879281115125553e-06,1.850498693504197e-05,0.0,0.00011018235877452673,0.00011007235877452673,63,8.459177053923263e-05,0.00042204513645472763,"[64, 49, 63, 32, 1]",33.81662946696271,23.547529336882143,0.4959695339202881
rate,NN2,64,16,4,10000000000.0,SDM,8.0,1,R,6,-5.638574516291353,13.661425483708648,"[51, 49, 63, 32, 1]",9.231529995099732e-05,8.011199203187251e-05,1.1958307919124815e-05,5.8549456732982975e-06,3.529215744000007e-06,4.021019648e-05,8.409472000000001e-05,2.8004769393134547e-06,0.00029263773999999997,0.0004291272948366117,6.0,3451.0,2807.0,1.0809186654447613e-06,1.0877389253680054e-05,0.0,9.249647642158556e-05,9.247059406864438e-05,63,8.460471171570324e-05,0.0004387705801684055,"[64, 49, 63, 32, 1]",32.76141276307128,13.461412763071277,0.388089656829834
rate,NN2,64,16,2,20000000000.0,SDM,8.0,1,R,6,-1.1231245813316342,13.661425483708648,"[51, 49, 63, 32, 1]",9.204353524511497e-05,8.011199203187251e-05,1.1686543213242466e-05,8.280143578136094e-06,1.7646078720000036e-06,4.021019648e-05,8.409472000000001e-05,2.7922326851958073e-06,0.00029263773999999997,0.00042977964061533187,6.0,3451.0,2807.0,9.45036312503585e-07,1.074150690073888e-05,0.0,9.222471171570321e-05,9.219235877452673e-05,63,8.459177053923263e-05,0.0004166939445679771,"[64, 49, 63, 32, 1]",32.76141276307128,17.976862698030995,0.3964722156524658
rate,NN2,64,16,1,40000000000.0,SDM,8.0,1,R,6,3.392325353628083,13.661425483708648,"[51, 49, 63, 32, 1]",9.191412348040909e-05,8.011199203187251e-05,1.1557131448536583e-05,1.1709891346596595e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.7883068499016897e-06,0.00029263773999999997,0.0004323231586124982,6.0,3451.0,2807.0,8.803304301506438e-07,1.067680101838594e-05,0.0,9.209529995099733e-05,9.206294700982085e-05,63,8.459177053923263e-05,0.00040565582305952764,"[64, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.35666894912719727
rate,NN2,64,16,4,10000000000.0,WDM,8.0,1,R,6,-4.5833578123999175,14.716642187600083,"[51, 49, 63, 32, 1]",9.231529995099732e-05,8.011199203187251e-05,1.1958307919124815e-05,7.4652531615244965e-06,4.141036339200001e-05,4.021019648e-05,8.409472000000001e-05,2.8004769393134547e-06,0.00029263773999999997,0.0004686187499728379,6.0,3451.0,2807.0,1.0809186654447613e-06,1.0877389253680054e-05,0.0,9.249647642158556e-05,9.247059406864438e-05,63,8.460471171570324e-05,0.0005043278337492056,"[64, 49, 63, 32, 1]",33.81662946696271,14.516629466962709,0.37047290802001953
