method,family,reuse,alloc,T,comp,comm,commF,commB,D_init,E_laser,E_tune,E_dyn,E_leak,E_net,E_comp,E_total,flops,slotsF,slotsB,maxroute,maxfan,wire_bytes,sram_peak,Z,Rrun,Hmax,cores_used,local_frac,relaxed_real,net,mu,lam,bwd,sweeps,evals,u
RI,FM,-1,"[1000, 500, 10]",4.7220404325259e-05,4.2565193723066915e-05,4.410210602192079e-06,3.22492100782131e-06,1.1852895943707686e-06,2.45e-07,7.530780184314067e-08,1.991681375831003e-05,2.3994272000000002e-05,2.2382471650172765e-05,6.636886521032594e-05,0.00010774569999999999,0.00017411456521032592,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.6975404325258993e-05,1000,0.00100990099009901,"[1307.5224013117224, 576.6742966739603, 128.6925707948123]",NN1,1,8,T,,,
CS,FM,-1,"[1000, 500, 10]",4.7220404325259e-05,4.2565193723066915e-05,4.410210602192079e-06,3.22492100782131e-06,1.1852895943707686e-06,2.45e-07,7.530780184314067e-08,1.991681375831003e-05,2.3994272000000002e-05,2.2382471650172765e-05,6.636886521032594e-05,0.00010774569999999999,0.00017411456521032592,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.6975404325258993e-05,1000,0.00100990099009901,,NN1,1,8,T,1,1508,
CS,RRM,-1,"[1000, 500, 10]",4.7223758245523394e-05,4.2565193723066915e-05,4.413564522456477e-06,3.228186667026119e-06,1.1853778554303581e-06,2.45e-07,7.540135415325248e-08,1.991781461308135e-05,2.3994745600000002e-05,2.238406140837809e-05,6.63720229756127e-05,0.00010774569999999999,0.0001741177229756127,10774570.0,188.0,65.0,500.0,999.0,16080.0,40752.0,4020,2,3.573228508074092e-05,1000,0.0009900990099009901,,NN1,1,8,T,1,1508,
CS,ORRM,-1,"[1000, 500, 10]",4.7218303712040774e-05,4.2565193723066915e-05,4.408109988973854e-06,3.222767437967331e-06,1.1853425510065224e-06,2.45e-07,7.530795365216321e-08,1.991681461034699e-05,2.3994272000000002e-05,2.2381475959507326e-05,6.636787052350648e-05,0.00010774569999999999,0.00017411357052350647,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.697330371204077e-05,1000,0.00100990099009901,,NN1,1,8,T,,,
CS_Er,ORRM,-1,"[1000, 500, 10]",4.7218303712040774e-05,4.2565193723066915e-05,4.408109988973854e-06,3.222767437967331e-06,1.1853425510065224e-06,2.45e-07,7.530795365216321e-08,1.991681461034699e-05,2.3994272000000002e-05,2.2381475959507326e-05,6.636787052350648e-05,0.00010774569999999999,0.00017411357052350647,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.697330371204077e-05,1000,0.00100990099009901,,NN1,1,8,T,,,
CSE,FM,-1,"[250, 84, 10]",5.7549617497022794e-05,5.6219498487257716e-05,1.0851190097650821e-06,8.125509144827824e-07,2.725680952822997e-07,2.45e-07,1.7860588262188604e-08,9.683649306921127e-07,5.16758272e-06,2.7278518693588805e-05,3.3432326932543105e-05,0.00010774569999999999,0.0001411780269325431,10774570.0,43.0,13.0,249.0,249.0,16080.0,156184.0,980,6,5.730461749702279e-05,250,0.004449438202247191,,NN1,1,8,T,,,
BESTFIXE,FM,-1,"[167, 167, 10]",5.655704969042231e-05,5.507517142942098e-05,1.2368782610013256e-06,8.243410680641409e-07,4.1253719293718467e-07,2.45e-07,2.0951557784877632e-08,1.2757071005881408e-06,6.154944e-06,2.6808041553260173e-05,3.425964421163319e-05,0.00010774569999999999,0.00014200534421163316,10774570.0,42.0,23.0,166.0,166.0,16080.0,138000.0,648,6,5.631204969042231e-05,167,0.005988372093023255,,NN1,1,8,T,,,167
MAX,FM,-1,"[1000, 500, 10]",4.7220404325259e-05,4.2565193723066915e-05,4.410210602192079e-06,3.22492100782131e-06,1.1852895943707686e-06,2.45e-07,7.530780184314067e-08,1.991681375831003e-05,2.3994272000000002e-05,2.2382471650172765e-05,6.636886521032594e-05,0.00010774569999999999,0.00017411456521032592,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.6975404325258993e-05,1000,0.00100990099009901,,NN1,1,8,T,,,
F200,FM,-1,"[200, 200, 10]",5.6480340225442086e-05,5.4831374645252766e-05,1.4039655801893221e-06,9.514870781372359e-07,4.524785020520862e-07,2.45e-07,2.394813780737233e-08,1.7629334737276401e-06,7.334918399999998e-06,2.6771681266859547e-05,3.5893481278394555e-05,0.00010774569999999999,0.00014363918127839454,10774570.0,50.0,27.0,199.0,199.0,16080.0,121424.0,780,6,5.6235340225442084e-05,200,0.005024390243902439,,NN1,1,8,T,,,
BESTFIX,FM,-1,"[1000, 500, 10]",4.7220404325259e-05,4.2565193723066915e-05,4.410210602192079e-06,3.22492100782131e-06,1.1852895943707686e-06,2.45e-07,7.530780184314067e-08,1.991681375831003e-05,2.3994272000000002e-05,2.2382471650172765e-05,6.636886521032594e-05,0.00010774569999999999,0.00017411456521032592,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.6975404325258993e-05,1000,0.00100990099009901,,NN1,1,8,T,,,1000
