m,net,mu,lam,bwd,alloc,T,T_max,T_bestfix,u_bestfix
64,NN2,8,8,R,"[64, 63, 63, 63, 5]",0.0010459177666782146,0.0010468383763782862,0.0010468362568345686,63
64,NN2,8,8,T,"[64, 64, 64, 64, 10]",0.0007479099759450796,0.0007479099759450796,0.0007479099759450796,64
64,NN2,8,64,R,"[64, 63, 63, 63, 10]",0.000741709829368193,0.0007417507724413221,0.000741709829368193,63
64,NN2,8,64,T,"[64, 64, 64, 64, 10]",0.0007387870778904685,0.0007387870778904685,0.0007387870778904685,63
64,NN2,32,8,R,"[64, 56, 56, 48, 5]",0.0038806459848885633,0.003961534883425444,0.003961534883425444,64
64,NN2,32,8,T,"[64, 64, 64, 64, 10]",0.0026741486342682975,0.0026741486342682975,0.0026741486342682975,64
64,NN2,32,64,R,"[64, 63, 63, 63, 10]",0.00274271916856506,0.002742813161841421,0.00274271916856506,63
64,NN2,32,64,T,"[64, 64, 64, 64, 10]",0.002639285736213686,0.002639285736213686,0.002639285736213686,63
64,NN6,8,8,R,"[64, 64, 64, 64, 64, 64, 64, 5]",0.0061888796903082,0.006221585065151823,0.006221585065151823,64
64,NN6,8,8,T,"[64, 64, 64, 64, 64, 64, 64, 10]",0.005043298157906002,0.005043298157906002,0.005043298157906002,64
64,NN6,8,64,R,"[64, 64, 64, 64, 64, 64, 64, 10]",0.004805235010693155,0.004805235010693155,0.004805235010693155,64
64,NN6,8,64,T,"[64, 64, 64, 64, 64, 64, 64, 10]",0.004994235162270865,0.004994235162270865,0.004994235162270865,64
64,NN6,32,8,R,"[64, 64, 64, 64, 64, 64, 64, 5]",0.0249032804122755,0.024968248637889268,0.024968248637889268,64
64,NN6,32,8,T,"[64, 64, 64, 64, 64, 64, 64, 10]",0.019403915291273614,0.019403915291273614,0.019403915291273614,64
64,NN6,32,64,R,"[64, 64, 64, 64, 64, 64, 64, 10]",0.01930584681872472,0.01930584681872472,0.01930584681872472,64
64,NN6,32,64,T,"[64, 64, 64, 64, 64, 64, 64, 10]",0.019210661707403185,0.019210661707403185,0.019210661707403185,64
256,NN2,8,8,R,"[256, 72, 78, 64, 5]",0.000919589030490713,0.0016782576759103319,0.0010387923837981321,88
256,NN2,8,8,T,"[256, 200, 256, 256, 10]",0.0003236048967176685,0.0003237703429184061,0.0003237703429184061,256
256,NN2,8,64,R,"[256, 157, 250, 125, 10]",0.00046452624029647493,0.00047886640644261144,0.00047872754725525465,250
256,NN2,8,64,T,"[256, 256, 256, 256, 10]",0.00031289672050950927,0.00031289672050950927,0.00031289672050950927,250
256,NN2,32,8,R,"[256, 56, 72, 48, 5]",0.003392133679747675,0.006627565954522843,0.0038882544575477044,72
256,NN2,32,8,T,"[256, 200, 256, 256, 10]",0.0011964701365800377,0.0011966355827807754,0.0011966355827807754,256
256,NN2,32,64,R,"[256, 112, 250, 125, 10]",0.0017476072593527103,0.0018368817438786532,0.0018364330816607662,250
256,NN2,32,64,T,"[256, 256, 256, 256, 10]",0.0011600219603718784,0.0011600219603718784,0.0011600219603718784,250
256,NN6,8,8,R,"[256, 80, 144, 80, 144, 80, 144, 5]",0.005255393957248298,0.007929012409728065,0.005817683870268941,96
256,NN6,8,8,T,"[256, 256, 256, 256, 256, 256, 256, 10]",0.0018102597909731395,0.0018102597909731395,0.0018102597909731395,256
256,NN6,8,64,R,"[250, 250, 250, 250, 250, 250, 250, 10]",0.0024319300686233116,0.002432320755442508,0.0024319300686233116,250
256,NN6,8,64,T,"[256, 256, 256, 256, 256, 256, 256, 10]",0.001757934019040525,0.001757934019040525,0.001757934019040525,254
256,NN6,32,8,R,"[256, 72, 160, 72, 160, 72, 160, 5]",0.021071986307653057,0.03173770818031041,0.02323222825115727,112
256,NN6,32,8,T,"[256, 256, 256, 256, 256, 256, 256, 10]",0.007096225382583357,0.007096225382583357,0.007096225382583357,256
256,NN6,32,64,R,"[250, 250, 250, 250, 250, 250, 250, 10]",0.009762629120349954,0.009763728290730727,0.009762629120349954,250
