net,mu,lam,bwd,param,value,alloc,T,comm_share,T_max,T_200,T_bestfix,u_bestfix,T_RI
NN2,1,8,R,D_cfg,1e-09,"[750, 131, 167, 84, 10]",0.00019790234210717908,0.44704912300600974,0.0005891469803201407,0.00024351114577369235,0.00022259084951924723,131,0.0002123861774061885
NN2,1,8,R,D_cfg,1e-08,"[750, 131, 167, 84, 10]",0.0001996483421071791,0.4518848868347583,0.0005954379803201409,0.00024510414577369233,0.00022367984951924725,131,0.00021290512068273116
NN2,1,8,R,D_cfg,1e-06,"[150, 88, 72, 56, 5]",0.0003008667930594229,0.4143407886027423,0.0012874479803201408,0.00042033414577369234,0.0003068696005991182,88,0.0003105661183789058
NN2,1,8,R,D_cfg,1e-07,"[250, 131, 112, 84, 10]",0.00021451062675847921,0.423047460248504,0.0006583479803201398,0.0002610341457736923,0.00023456984951924722,131,0.00023000886106830365
NN2,1,8,R,C,1500000000.0,"[750, 160, 167, 125, 10]",0.0002027611188262198,0.521731119384644,0.0005400149898359552,0.00023605277752976838,0.0002297325883994273,167,0.00021436257579692458
NN2,1,8,R,C,6000000000.0,"[750, 72, 72, 56, 5]",9.980108197523356e-05,0.477826302394874,0.0005186174898359552,0.00016177827752976838,0.00011426197680153093,72,0.00010340630030612633
NN2,1,8,R,C,24000000000.0,"[375, 40, 40, 32, 5]",5.039268850019981e-05,0.5371848437912273,0.0005132681148359552,0.00014320965252976838,5.757612800167746e-05,40,5.384269720368044e-05
NN2,1,8,R,B_lam,10000000000.0,"[750, 56, 56, 40, 5]",0.00034807704743379986,0.4092694944588253,0.002098384156790726,0.0006491212045972218,0.000388269853200341,56,0.00035944094858420515
NN2,1,8,R,B_lam,40000000000.0,"[750, 131, 167, 84, 10]",0.0001996483421071791,0.4518848868347583,0.0005954379803201409,0.00024510414577369233,0.00022367984951924725,131,0.00021290512068273116
NN2,1,8,R,ser2,2,"[750, 196, 167, 125, 10]",0.0001246361858669478,0.19076237017896724,0.00018554356855543457,0.00013491767518545705,0.00013224072426659087,262,0.0001575418853886135
NN2,1,8,T,D_cfg,1e-09,"[750, 784, 1000, 500, 10]",8.932354093714088e-05,0.06633918592209262,8.962629154835283e-05,0.00012090196943926919,8.962629154835283e-05,1000,8.962629154835283e-05
NN2,1,8,T,D_cfg,1e-08,"[750, 784, 500, 500, 10]",9.466920022932594e-05,0.10078961798999043,9.591729154835284e-05,0.00012249496943926919,9.591729154835284e-05,1000,9.724153209051718e-05
NN2,1,8,T,D_cfg,1e-07,"[502, 264, 250, 167, 10]",0.000123735284189349,0.20880226506888366,0.00015882729154835293,0.00013842496943926918,0.00012679295023821003,264,0.00012883011057777081
NN2,1,8,T,D_cfg,1e-06,"[250, 131, 112, 84, 5]",0.00024842911783997204,0.4769599174231063,0.0007879272915483534,0.0002977249694392692,0.00027028495438801526,131,0.00026602840103846965
NN2,1,8,T,C,6000000000.0,"[750, 784, 500, 250, 10]",1.939721063812374e-05,0.4340251524744358,2.1201401600660603e-05,3.625096380427819e-05,2.097290914549691e-05,784,2.1793900731957607e-05
NN2,1,8,T,C,1500000000.0,"[750, 784, 1000, 500, 10]",4.593065098944865e-05,0.2599059828738549,4.65124016006606e-05,0.0001338064638042782,4.65124016006606e-05,1000,4.65124016006606e-05
NN2,1,8,T,C,24000000000.0,"[502, 392, 250, 250, 10]",9.690716738195438e-06,0.5265056110953409,1.4873651600660603e-05,1.1862088804278185e-05,1.0625337365457751e-05,392,1.0489377790529773e-05
NN2,1,8,T,B_lam,10000000000.0,"[750, 392, 500, 250, 10]",9.921663070148593e-05,0.10288047349986841,0.00010270170331305869,0.000126649087086328,0.00010203017590489693,502,0.00010381241444345833
